id,AA,b,bs,el,f,g,j,k,l,tf,room,living,toilet,p
1152,1,1,0.41159999999999997,1,14,17.0,4,1,1,14,1,2,1,292383
1153,1,2,0.8378,0,4,44.0,1,1,0,5,3,2,1,359412
1154,1,1,0.5326,1,9,25.0,1,1,1,13,4,2,2,416284
1155,5,2,0.6252,0,3,25.0,1,1,1,5,3,2,2,283736
1156,1,2,0.7545000000000001,0,5,37.0,1,1,0,5,3,2,2,364949
1158,1,1,0.5261,1,18,27.0,3,1,1,18,2,2,2,322202
1159,1,1,0.6526000000000001,1,15,27.0,2,1,0,16,3,2,2,494899
1160,1,4,0.7353000000000001,1,1,30.0,1,1,0,7,2,1,1,364949
1161,1,1,0.8576,1,4,28.0,2,1,1,24,4,2,2,248731
1162,1,1,0.5109,1,2,9.0,1,1,1,18,3,2,2,491339
1163,2,1,0.6456000000000001,1,2,28.0,1,1,0,26,2,2,1,597408
1164,1,1,0.823,1,24,29.0,1,1,0,24,2,1,1,505610
1166,1,1,0.4972,1,8,15.0,1,1,1,11,2,2,2,492063
1168,1,4,0.6081,1,1,13.0,1,1,0,10,4,2,2,437441
1169,5,1,0.6816,1,5,25.0,8,1,1,25,2,2,1,361144
1170,1,4,0.7636,1,3,31.0,1,1,0,7,2,1,1,343369
1171,1,1,0.4511,1,3,8.0,1,1,1,22,2,2,2,621488
1172,1,1,0.6536,1,6,27.0,1,1,0,11,4,2,2,588463
1173,1,1,0.6835,1,13,25.0,1,1,0,32,3,2,2,280109
1174,1,1,0.6214999999999999,1,3,28.0,2,1,0,24,2,2,2,574582
1175,1,2,0.9135,0,5,35.0,2,1,0,5,3,2,2,315484
1176,5,2,1.0,0,3,51.0,1,1,0,4,3,2,1,322631
1177,1,1,0.5224,1,5,6.0,1,1,1,11,3,1,2,505874
1178,1,2,0.8339,0,3,34.0,1,1,0,5,3,1,2,88284
1179,1,1,0.8427,1,19,28.0,2,1,0,23,3,2,2,377775
1180,1,1,0.5225,1,9,17.0,1,1,1,13,4,2,2,81838
1181,2,2,0.8694,0,4,44.0,1,1,0,4,3,2,1,445223
1182,1,4,0.5652,1,1,25.0,1,1,1,8,3,2,2,417716
1183,1,1,0.4671,1,6,6.0,1,1,0,13,2,1,1,629901
1184,1,1,0.436,1,8,8.0,1,1,1,15,3,2,2,512959
1186,1,1,0.4913,1,14,28.0,2,1,1,18,3,2,2,341279
1187,1,2,0.596,0,1,25.0,1,1,1,5,3,2,2,623438
1193,1,1,0.36840000000000006,1,12,8.0,1,1,1,15,1,1,1,496863
1194,2,1,0.6614,1,16,26.0,2,1,0,23,3,2,2,424932
1195,5,4,0.8214,1,1,29.0,1,1,0,8,4,2,1,229775
1196,5,1,0.6453,1,21,25.0,8,1,0,25,1,1,1,309841
1197,1,1,0.6459,1,13,30.0,1,1,0,16,1,1,1,430307
1198,1,1,0.725,1,9,26.0,1,1,0,12,2,1,1,603845
1199,1,2,0.8684000000000001,0,2,44.0,1,1,0,4,3,2,1,217484
1200,1,1,0.6861,1,23,25.0,1,1,0,33,1,1,1,330658
1201,1,2,0.8852,0,1,43.0,4,1,0,4,4,1,1,470155
1202,1,1,0.7041,1,7,31.0,1,1,0,12,3,2,2,219848
1204,1,4,0.7098,1,4,29.0,2,1,0,8,3,2,1,480625
1205,1,1,0.6406000000000001,1,2,25.0,1,1,0,32,1,1,1,205831
1207,1,4,0.6652,1,7,19.0,1,1,0,7,3,2,2,346949
1209,5,4,0.7249,1,4,30.0,2,1,0,7,2,2,1,253296
1210,1,2,0.9056000000000001,0,3,44.0,1,1,0,4,3,2,2,363273
1211,1,4,0.6762,1,4,16.0,1,1,0,9,4,2,2,500724
1212,2,1,0.6533,1,15,26.0,2,1,0,18,2,2,1,459481
1213,1,1,0.5186999999999999,1,25,25.0,1,1,1,32,3,2,2,209874
1214,1,4,0.6629,1,2,29.0,1,1,1,7,3,1,2,504783
1215,1,1,0.8885,1,5,29.0,2,1,1,16,2,2,2,318896
1216,5,4,0.7164,1,3,26.0,1,1,0,7,2,2,2,598922
1217,2,2,0.9292,0,5,43.0,1,1,0,5,3,2,1,403825
1218,1,1,0.46159999999999995,1,6,10.0,1,1,2,14,3,2,2,621276
1219,5,4,0.39640000000000003,1,4,6.0,1,1,1,6,2,2,1,436420
1220,1,4,0.436,1,1,27.0,1,1,1,6,3,1,1,251369
1221,1,1,0.8791,1,7,28.0,2,1,1,23,3,2,2,292493
1222,1,1,0.4192,1,8,8.0,1,1,1,15,1,1,1,578975
1223,1,1,0.4657,1,2,5.0,1,1,1,11,3,2,2,435177
1224,5,1,0.5033,1,2,27.0,1,1,1,12,3,2,2,199544
1225,5,1,0.5284,1,16,25.0,2,1,1,26,3,2,2,290165
1226,5,4,0.4263,1,8,1.0,1,1,1,8,2,2,2,674433
1228,1,4,0.5455,1,6,30.0,1,1,1,6,2,2,2,325851
1229,1,1,0.5733,1,6,27.0,1,1,1,14,3,2,2,463521
1230,1,1,0.48200000000000004,1,14,17.0,1,1,1,14,3,2,2,521230
1231,1,1,0.6762,1,10,29.0,1,1,1,16,4,2,2,343098
1232,2,1,0.47840000000000005,1,25,24.0,1,1,1,28,2,2,2,312063
1233,1,4,0.6101,1,6,31.0,1,1,1,6,3,2,2,291140
1234,5,4,0.4422,1,4,6.0,16,1,1,10,4,2,2,672030
1235,1,1,0.4754,1,17,6.0,1,1,1,23,3,2,2,598258
1236,1,1,0.4374,1,9,8.0,1,1,1,15,1,1,1,582843
1237,1,1,0.49439999999999995,1,8,14.0,1,1,1,11,3,2,2,545068
1238,1,1,0.4757,1,8,12.0,3,1,1,11,3,2,2,494631
1239,1,1,0.5669,1,3,17.0,1,1,1,12,1,1,1,651633
1240,1,1,0.4962,1,6,17.0,1,1,1,14,3,2,2,407478
1241,1,1,0.4122,1,29,25.0,1,1,1,32,1,2,1,195035
1242,1,1,0.444,1,7,8.0,1,1,1,15,3,2,2,505944
1246,1,1,0.4587,1,3,29.0,1,1,0,12,2,2,1,371531
1247,1,2,1.0,0,3,53.0,1,1,0,3,5,2,2,414727
1248,5,2,0.8926000000000001,0,2,43.0,1,1,0,2,6,2,1,158460
1249,1,1,0.6367,1,9,28.0,1,1,0,14,1,1,1,546192
1250,2,1,0.631,1,17,26.0,2,1,0,23,2,2,1,540245
1253,1,1,0.6905,1,10,27.0,2,1,0,16,1,2,1,522291
1254,5,2,0.6565000000000001,0,1,29.0,1,1,0,5,3,2,2,258526
1258,1,2,0.8055,0,4,38.0,1,1,0,5,3,2,2,369088
1259,1,4,0.5626,1,2,9.0,1,1,0,10,3,2,2,574446
1260,2,1,0.6809999999999999,1,27,26.0,1,1,0,27,2,2,1,668559
1261,1,1,0.6577,1,10,27.0,2,1,0,16,1,1,1,523362
1262,1,1,0.6259,1,4,27.0,2,1,0,36,3,2,2,325537
1263,1,1,0.7868999999999999,1,24,29.0,1,1,0,24,2,2,1,544873
1264,5,2,0.6553,0,3,29.0,1,1,0,5,3,2,2,177084
1265,1,1,0.6814,1,8,26.0,1,1,0,12,1,1,1,528380
1266,1,2,0.887,0,2,43.0,1,1,0,5,3,2,2,444060
1267,1,4,0.659,1,8,25.0,1,1,0,8,2,2,1,489296
1270,5,1,0.6344,1,6,25.0,4,1,0,25,3,2,2,412959
1271,1,1,0.7961,1,14,29.0,1,1,0,24,3,2,2,482370
1272,1,1,0.6077,1,10,14.0,1,1,0,15,3,2,2,619835
1273,1,4,0.7761,1,6,30.0,4,1,0,7,3,2,2,412050
1274,2,1,0.6822,1,13,26.0,2,1,0,17,3,2,1,586929
1275,1,1,0.5791,1,22,3.0,2,1,0,23,2,2,1,647888
1277,1,2,0.9122,0,2,40.0,1,1,0,4,3,2,2,253213
1278,2,1,0.6524,1,9,24.0,1,1,0,28,3,2,2,64099
1279,2,1,0.5553,1,15,1.0,1,1,0,15,1,1,1,572311
1280,2,1,0.6877,1,10,26.0,2,1,0,17,1,1,1,539306
1281,1,2,0.8402,0,4,38.0,1,1,0,5,3,1,2,170007
1282,1,1,0.5744,1,7,15.0,1,1,0,18,3,2,2,320205
1283,1,1,0.6385000000000001,1,13,17.0,1,1,0,13,4,2,2,532063
1284,1,1,0.6967,1,15,27.0,2,1,0,16,2,1,1,490205
1285,1,1,0.6371,1,2,25.0,2,1,0,17,2,2,1,482780
1286,1,2,0.8698,0,1,43.0,2,1,0,4,3,2,2,285640
1287,1,1,0.5695,1,2,7.0,1,1,0,11,2,2,1,504436
1289,1,2,0.8654999999999999,0,4,30.0,1,1,0,5,3,2,1,329190
1290,1,1,0.6043999999999999,1,13,27.0,2,1,0,36,2,1,1,334202
1291,1,2,0.8935,0,3,43.0,1,1,0,5,4,2,1,199623
1293,5,2,1.0,0,3,51.0,2,1,0,4,3,2,2,385848
1294,1,1,0.6509,1,1,28.0,1,1,0,11,2,2,1,601613
1295,2,1,0.8278,1,26,27.0,1,1,0,26,2,2,1,635891
1296,5,4,0.7984,1,4,32.0,1,1,0,10,2,1,1,220307
1297,1,2,0.8405,0,4,33.0,1,1,0,5,3,2,2,333332
1299,1,4,0.46590000000000004,1,4,5.0,2,1,0,6,1,1,1,526136
1300,1,1,0.8219,1,22,29.0,1,1,0,24,3,2,2,513104
1301,1,1,0.7369,1,9,28.0,1,1,0,18,1,1,1,434149
1303,1,1,0.6949,1,26,25.0,1,1,0,32,3,2,2,303570
1304,1,1,0.5658,1,7,1.0,1,1,0,13,3,1,1,438436
1305,1,1,0.5658,1,4,1.0,1,1,0,13,3,1,1,434132
1306,1,2,0.8784000000000001,0,3,44.0,1,1,0,4,3,2,1,270093
1307,5,4,0.617,1,3,1.0,1,1,0,8,3,2,1,597008
1308,1,1,0.5526,1,10,17.0,1,1,0,12,1,1,1,678579
1309,1,1,0.6906,1,17,25.0,1,1,0,32,1,1,1,229788
1310,1,1,0.6413,1,2,28.0,2,1,0,24,2,2,1,526820
1311,1,2,0.9431999999999999,0,3,43.0,1,1,0,5,2,2,1,417947
1312,1,2,0.8751000000000001,0,4,43.0,1,1,0,5,3,2,1,317431
1313,2,1,0.5548,1,11,1.0,1,1,0,15,1,1,1,419279
1314,1,2,0.8128,0,4,43.0,1,1,0,5,3,2,1,343693
1315,1,1,0.6759999999999999,1,15,28.0,6,1,0,17,2,2,1,458106
1317,1,1,0.8515,1,6,27.0,1,1,0,13,1,1,1,529438
1318,1,1,0.8295,1,8,29.0,3,1,0,11,3,2,2,414641
1319,5,2,0.6419,0,4,25.0,1,1,0,5,3,2,2,260040
1320,5,2,0.9003,0,4,43.0,2,1,0,4,3,2,2,294476
1321,5,1,0.6059,1,5,31.0,1,1,0,15,1,1,1,408879
1323,1,1,0.8088,1,13,29.0,1,1,0,13,3,2,2,622149
1324,1,1,0.6934,1,2,29.0,2,2,0,14,1,1,1,385755
1325,1,4,0.7334999999999999,1,2,26.0,1,1,0,8,2,1,1,522023
1326,5,2,0.6520999999999999,0,1,29.0,1,1,0,5,2,2,1,194562
1327,5,2,0.8420000000000001,0,5,42.0,1,1,0,5,3,2,1,248955
1328,1,4,0.7676999999999999,1,5,30.0,1,1,0,7,3,2,2,445907
1329,1,1,0.5715,1,10,15.0,2,1,0,14,2,2,1,604777
1330,1,2,0.807,0,4,38.0,1,1,0,5,3,2,2,372731
1331,1,1,0.7884,1,7,29.0,1,1,0,12,3,2,2,420258
1332,1,1,0.5981000000000001,1,21,27.0,2,1,0,36,2,2,1,329636
1333,5,2,0.9065000000000001,0,2,39.0,2,1,0,5,3,2,1,439405
1334,2,1,0.6668999999999999,1,23,28.0,1,1,0,26,2,2,1,605250
1335,5,2,0.6441,0,5,29.0,1,1,0,5,3,2,2,136215
1336,5,1,0.7123,1,3,41.0,1,1,0,12,2,2,1,350357
1337,1,1,0.6448,1,4,27.0,2,1,0,16,1,1,1,511732
1338,1,4,0.7791,1,2,33.0,1,1,0,6,4,2,2,394516
1339,1,1,0.5711999999999999,1,6,15.0,1,1,0,15,2,1,1,635993
1340,1,1,0.7670999999999999,1,9,30.0,1,1,0,12,3,2,2,473802
1341,1,2,0.8508,0,2,43.0,1,1,0,5,3,2,2,373375
1343,1,2,0.8955,0,4,40.0,2,1,0,5,3,2,2,415345
1344,1,4,0.8334,1,4,31.0,2,1,0,7,1,1,1,442836
1346,1,4,0.5663,1,8,13.0,1,1,0,10,2,2,1,419583
1348,1,1,0.6045,1,5,29.0,1,1,0,15,2,2,1,462443
1351,5,1,0.6318,1,16,25.0,4,1,1,25,3,2,2,355927
1352,2,1,0.6864,1,11,26.0,2,1,0,16,3,2,2,403418
1353,5,1,0.7182999999999999,1,8,25.0,4,1,1,25,3,2,2,360056
1356,5,4,0.6663,1,2,28.0,1,1,1,7,4,1,1,222337
1357,5,1,0.8284,1,9,26.0,3,1,1,17,3,2,2,415276
1358,5,1,0.44920000000000004,1,5,24.0,1,1,1,12,2,2,1,239012
1359,1,1,0.4861,1,10,6.0,1,1,1,13,3,2,2,631101
1360,1,4,0.5265,1,7,25.0,1,1,1,8,3,2,2,436562
1361,1,1,0.48109999999999997,1,8,29.0,2,1,1,19,2,1,1,247967
1363,1,4,0.5109,1,9,24.0,1,1,1,9,3,2,2,220717
1364,5,2,0.579,0,2,27.0,1,1,1,4,3,1,2,176674
1365,1,1,0.4807,1,8,8.0,1,1,1,15,3,2,2,543484
1366,1,1,0.4891,1,7,28.0,2,1,1,18,3,2,1,331217
1367,1,4,0.5013000000000001,1,6,16.0,1,1,1,9,3,2,2,612400
1369,2,1,0.4621,1,12,1.0,1,1,1,15,2,1,1,514774
1370,1,1,0.5456,1,6,23.0,1,1,1,14,3,2,2,429726
1371,5,1,0.5065,1,8,25.0,2,1,1,26,3,2,1,353312
1372,5,4,0.5306000000000001,1,6,7.0,1,1,1,7,2,2,2,364998
1374,1,1,0.36840000000000006,1,10,8.0,1,1,1,15,2,1,1,552807
1375,1,1,0.49439999999999995,1,2,28.0,1,1,1,14,3,2,2,355038
1376,2,1,0.467,1,12,1.0,1,1,1,15,2,2,1,426304
1379,1,1,0.5139,1,14,28.0,6,1,1,17,3,2,2,526631
1380,1,1,0.4157,1,14,17.0,4,1,1,14,2,2,2,365488
1381,1,1,0.37020000000000003,1,15,8.0,1,1,1,15,2,2,1,584754
1382,1,1,0.5049,1,10,26.0,1,1,1,12,3,2,2,435590
1383,1,1,0.48700000000000004,1,13,14.0,2,1,1,15,3,2,2,396430
1384,1,1,0.5092,1,3,5.0,1,1,1,14,4,2,2,568473
1385,1,1,0.4583,1,24,25.0,1,1,1,32,2,1,1,259352
1386,2,1,0.5025999999999999,1,10,26.0,2,1,1,17,3,2,2,493174
1387,1,1,0.5611,1,3,26.0,1,1,1,12,3,1,1,332463
1388,5,1,0.6878,1,15,25.0,8,1,1,25,3,2,2,336826
1391,1,1,0.4395,1,5,10.0,1,1,1,15,2,2,1,455547
1392,1,1,0.4424,1,2,8.0,1,1,1,15,2,1,1,546902
1393,1,1,0.4217,1,5,7.0,1,1,1,15,2,2,1,591521
1394,1,1,0.8417,1,9,29.0,2,1,1,17,4,2,2,364162
1395,5,1,0.7515999999999999,1,3,31.0,3,1,1,17,3,2,2,284906
1396,5,1,0.7515999999999999,1,3,31.0,3,1,1,17,3,2,2,284906
1397,5,1,0.7515999999999999,1,3,31.0,3,1,1,17,3,2,2,284906
1399,1,1,0.5447,1,12,28.0,1,1,1,14,4,2,2,442893
1400,1,1,0.4918,1,2,1.0,1,1,1,13,3,2,2,451425
1401,2,1,0.5483,1,12,16.0,1,1,1,15,3,2,2,493974
1402,2,1,0.5357999999999999,1,25,28.0,1,1,1,26,3,2,2,494139
1404,5,4,0.8581,1,8,32.0,1,1,1,8,1,2,1,269441
1405,1,1,0.5036,1,3,1.0,1,1,1,13,2,1,1,490433
1406,5,1,0.6637000000000001,1,9,25.0,8,1,1,25,3,2,2,302688
1407,5,1,0.659,1,8,28.0,1,1,1,15,4,2,2,195884
1408,1,1,0.4622,1,8,13.0,1,1,1,29,4,2,2,494962
1409,2,1,0.48810000000000003,1,18,24.0,1,1,1,28,3,2,2,458152
1410,5,1,0.8502,1,14,42.0,2,1,1,14,1,1,1,263266
1411,1,1,0.4567,1,12,13.0,1,1,1,12,2,2,1,621299
1412,1,2,1.0,0,3,49.0,1,1,0,3,2,2,1,321263
1413,5,4,0.5758,1,8,28.0,1,1,1,8,3,2,2,344701
1414,1,2,0.9347,0,2,40.0,2,1,0,5,3,2,1,267273
1416,1,1,0.8026000000000001,1,7,27.0,1,1,0,15,2,2,1,657888
1418,1,1,0.6776000000000001,1,19,15.0,2,1,0,23,2,2,1,448572
1419,1,1,0.4955,1,6,16.0,1,1,1,11,3,2,2,545765
1421,1,1,0.7384000000000001,1,14,30.0,1,1,0,14,1,1,1,486860
1422,1,1,0.647,1,5,28.0,1,1,0,12,1,1,1,528926
1423,1,1,0.41859999999999997,1,14,8.0,1,1,1,15,2,1,1,579848
1424,1,1,0.593,1,2,27.0,1,1,0,13,3,2,2,426545
1425,1,2,0.9125,0,3,31.0,1,1,0,5,2,2,2,537276
1426,1,1,0.5367999999999999,1,12,29.0,1,1,1,12,3,2,2,398962
1427,1,1,0.8203,1,9,29.0,2,1,0,16,3,2,2,390169
1428,1,1,0.5433,1,7,17.0,1,1,0,12,1,1,1,636198
1429,1,4,0.6725,1,5,27.0,2,1,0,10,1,2,1,398919
1430,1,1,0.6214,1,5,30.0,1,1,0,14,3,2,2,426740
1431,1,1,0.6118,1,17,28.0,2,1,0,24,3,2,2,451716
1432,5,2,0.8856999999999999,0,4,43.0,1,1,0,4,3,2,2,345590
1433,1,1,0.5818,1,5,30.0,1,1,1,15,3,2,2,422919
1434,1,1,0.6909000000000001,1,1,27.0,3,1,0,20,4,2,2,469838
1436,2,1,0.4894,1,2,27.0,1,1,1,19,3,2,2,397448
1437,1,1,0.4361,1,14,16.0,1,1,1,14,3,2,2,548397
1438,5,1,0.6472,1,4,28.0,1,1,0,15,2,1,1,256261
1439,5,4,0.6848000000000001,1,4,28.0,1,1,0,8,2,1,1,247514
1440,1,2,0.8207,0,4,42.0,1,1,0,5,3,2,2,275481
1441,5,1,0.6753,1,6,28.0,1,1,1,15,2,1,1,160099
1442,1,2,0.8759,0,1,34.0,3,1,1,5,3,2,2,379947
1443,1,1,0.4468,1,6,12.0,2,1,1,11,2,2,1,490969
1444,1,1,0.8772,1,16,28.0,2,1,1,25,3,2,2,318473
1445,2,1,0.51,1,12,29.0,1,2,0,18,3,2,1,397666
1446,1,2,0.8206,0,3,44.0,1,1,0,5,3,2,1,166212
1447,1,4,0.5206000000000001,1,4,22.0,1,1,1,9,3,2,2,430988
1448,1,1,0.6692,1,11,27.0,1,1,0,14,3,2,2,292635
1449,5,2,0.6365999999999999,0,5,29.0,1,1,0,5,3,2,2,143993
1450,1,1,0.7655,1,10,29.0,1,1,0,24,1,1,1,571170
1451,1,1,0.5318999999999999,1,6,25.0,1,1,2,12,3,2,2,361289
1453,5,2,0.5611999999999999,0,1,28.0,1,1,1,4,2,2,1,262823
1454,1,1,0.5157,1,14,2.0,1,1,1,14,2,1,1,609855
1455,1,1,0.5406,1,2,2.0,1,1,1,14,2,1,1,618003
1457,5,4,0.4263,1,6,1.0,1,1,1,8,2,2,2,654909
1459,1,1,0.8408,1,4,29.0,1,1,0,24,3,2,2,462638
1460,1,4,0.7061,1,4,32.0,1,1,0,6,3,2,2,416493
1461,2,1,0.5408,1,14,28.0,1,1,1,23,3,2,2,457577
1462,5,2,0.8984000000000001,0,4,44.0,1,1,0,4,3,2,1,364919
1463,2,1,0.643,1,5,26.0,2,1,0,23,2,2,1,553269
1464,1,1,0.7068000000000001,1,7,25.0,1,1,0,17,3,2,1,573874
1465,1,1,0.6981,1,10,32.0,1,1,0,12,3,2,2,547587
1466,1,1,0.6228,1,8,14.0,9,1,0,14,2,1,1,490357
1467,1,1,0.4975,1,8,14.0,9,1,1,14,1,1,1,422212
1468,1,1,0.8726999999999999,1,16,28.0,2,1,1,23,2,2,1,273418
1469,1,1,0.452,1,9,3.0,1,1,1,15,3,1,2,663944
1470,1,4,0.7084999999999999,1,5,29.0,2,1,0,8,2,2,1,496489
1471,1,4,0.6964,1,7,30.0,1,1,0,8,3,2,2,438516
1473,1,1,0.7920999999999999,1,22,29.0,1,1,0,24,2,1,1,496559
1474,1,1,0.5035000000000001,1,27,25.0,1,1,1,32,2,2,1,260512
1475,2,1,0.7067,1,15,25.0,2,1,1,18,3,2,2,438833
1476,1,2,0.9235,0,1,42.0,2,1,0,5,3,1,1,81114
1477,1,2,0.8913,0,3,41.0,1,1,0,3,2,1,2,352450
1478,5,2,0.8862000000000001,0,2,42.0,2,1,0,4,3,2,2,274565
1479,1,1,0.6136,1,3,29.0,1,1,0,16,3,2,1,440863
1480,1,4,0.5371,1,2,18.0,1,1,1,9,3,2,2,479656
1482,1,2,0.9297,0,5,36.0,2,1,0,5,3,2,2,400400
1483,1,1,0.6744,1,8,12.0,1,1,0,29,1,1,1,656020
1484,1,1,0.6981,1,8,32.0,1,1,0,12,3,2,2,596869
1485,5,2,0.8297,0,3,42.0,1,1,0,5,3,2,1,222612
1486,1,2,0.88,0,2,50.0,1,1,0,3,2,2,2,432129
1487,5,2,0.6545000000000001,0,3,28.0,1,1,0,5,2,1,1,185349
1488,5,4,0.6083,1,2,1.0,1,1,0,8,2,2,2,595987
1490,5,2,0.5993999999999999,0,2,28.0,1,1,1,4,3,2,2,279144
1491,1,1,0.6856,1,14,33.0,1,1,1,16,3,2,2,401540
1492,1,1,0.6063000000000001,1,11,27.0,2,1,0,16,3,2,2,443091
1493,1,1,0.41409999999999997,1,8,17.0,1,1,1,14,3,1,2,518344
1494,5,2,0.5813,0,2,27.0,1,1,1,4,3,2,2,281412
1495,1,1,0.5503,1,9,5.0,3,1,0,25,2,2,1,643861
1496,1,1,0.4524,1,14,27.0,1,1,1,14,2,2,1,480291
1497,1,1,0.8189,1,6,28.0,2,1,0,14,2,1,1,261540
1498,1,1,0.7681999999999999,1,5,29.0,1,1,0,24,2,1,1,372542
1499,5,1,0.4509,1,3,27.0,1,1,1,12,2,2,1,271987
1500,1,1,0.45990000000000003,1,11,6.0,1,1,1,21,2,2,1,339643
1501,1,2,1.0,0,2,47.0,2,1,0,4,4,2,2,435074
1502,1,1,0.4537,1,5,3.0,2,1,1,12,2,2,1,446205
1504,1,1,0.4996,1,22,11.0,1,1,2,24,4,2,2,431263
1506,1,1,0.5179,1,6,14.0,9,1,1,14,2,2,1,576658
1509,5,1,0.7020000000000001,1,15,24.0,8,1,1,25,3,2,2,279904
1510,1,1,0.5084000000000001,1,11,27.0,2,1,1,16,4,2,2,355286
1511,1,4,0.7412000000000001,1,4,29.0,2,1,0,8,3,2,2,462496
1513,1,1,0.49119999999999997,1,3,1.0,1,1,1,13,3,2,2,434377
1514,1,1,0.4686,1,13,14.0,1,1,1,14,1,2,2,518612
1515,1,1,0.45890000000000003,1,2,3.0,1,1,1,15,3,2,2,547190
1518,5,2,0.6537000000000001,0,3,44.0,1,1,0,4,3,1,1,76777
1519,5,4,0.45030000000000003,1,3,1.0,1,1,1,8,3,2,1,561243
1520,5,2,0.7585,0,4,29.0,1,1,1,5,2,2,1,77220
1522,1,1,0.4864,1,5,1.0,1,1,1,13,3,2,2,436754
1523,2,1,0.6822,1,16,25.0,2,1,0,17,2,3,2,453144
1524,1,1,0.5325,1,6,10.0,1,1,1,14,3,2,2,506466
1525,1,1,0.4772,1,4,1.0,1,1,1,13,2,1,1,428307
1526,1,4,0.7295999999999999,1,8,30.0,1,1,0,8,3,3,2,246245
1527,1,1,0.4771,1,11,1.0,1,1,1,13,3,1,1,441306
1528,1,1,0.6389,1,20,25.0,1,1,0,23,1,1,1,157726
1530,5,2,0.8848999999999999,0,2,44.0,3,1,0,4,3,2,1,330618
1531,1,1,0.5986,1,24,25.0,1,1,1,32,4,2,3,105742
1532,5,4,0.4409,1,1,6.0,2,1,1,5,2,1,1,480618
1533,5,4,0.4182,1,2,1.0,1,1,1,8,3,2,1,559190
1534,5,4,0.4263,1,4,1.0,1,1,1,8,2,2,2,613379
